,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mnogovershinnyy,53.19350314007715,138.6108625214822,41.88,81.0,0.0,1.1,RU,1599930330.0
1,Tessalit,20.09598737237636,0.5632836855671286,105.24,8.0,49.0,4.92,ML,1599930330.0
2,Taolanaro,-83.868865904513,67.49076458691896,,,,,MG,
3,Nabire,-2.5278542532570802,136.6057146840367,76.37,91.0,96.0,5.39,ID,1599930330.0
4,Bathsheba,15.464106110938985,-56.58526738415977,89.6,62.0,20.0,10.29,BB,1599930065.0
5,Ushuaia,-57.76454903038497,-49.47733723673315,39.2,80.0,40.0,5.82,AR,1599930331.0
6,Zhangzhou,24.64169388849337,117.28980095530267,78.8,94.0,90.0,4.47,CN,1599930331.0
7,Kutum,15.573889031608685,24.694070704033095,82.44,51.0,61.0,5.3,SD,1599930331.0
8,New Norfolk,-66.71233135417427,134.47143187266397,43.0,79.0,60.0,1.01,AU,1599930332.0
9,Petropavlovsk-Kamchatskiy,47.2736143977735,162.98677731849955,41.0,100.0,19.0,8.95,RU,1599930332.0
10,Ribeira Grande,32.910128926518276,-35.11045111321676,75.2,73.0,40.0,8.05,PT,1599930332.0
11,Punta Arenas,-65.07002733626064,-104.69055134510889,44.01,66.0,75.0,10.29,CL,1599930256.0
12,Najran,17.353548533686237,48.69420162518661,91.4,14.0,20.0,6.93,SA,1599930130.0
13,Norman Wells,71.97242029059638,-121.16591949079721,39.2,86.0,75.0,19.46,CA,1599930033.0
14,Hasaki,21.851669478405018,157.75582019736453,72.0,100.0,75.0,5.82,JP,1599929989.0
15,Laguna,-33.748213942170004,-40.02359600486141,66.0,77.0,90.0,3.94,BR,1599929898.0
16,Paamiut,60.443376869562655,-49.3703062012526,38.19,71.0,2.0,8.84,GL,1599930089.0
17,Olinda,-8.466948100272697,-27.122365004515498,82.4,58.0,20.0,14.99,BR,1599930333.0
18,Campbell River,51.31810387449209,-125.79660571706034,63.0,93.0,75.0,3.36,CA,1599930333.0
19,Puerto Ayora,-13.806044253477321,-96.70150741917179,75.2,64.0,20.0,9.17,EC,1599930334.0
20,Macaboboni,16.14268747417662,119.1798426271306,,,,,PH,
21,Nikolskoye,47.64409973417004,173.8955492437362,55.99,82.0,40.0,8.95,RU,1599930039.0
22,Zhangye,36.959866984420614,99.3355575084542,62.92,41.0,92.0,1.68,CN,1599930337.0
23,Sitka,56.590398288522074,-137.7519091810206,46.4,87.0,40.0,2.68,US,1599930115.0
24,Tasiilaq,60.054666824215026,-35.40065309872584,37.4,59.0,75.0,3.36,GL,1599929995.0
25,Coquimbo,-28.059007944407558,-91.0993035903556,55.4,82.0,90.0,8.05,CL,1599930128.0
26,Constitucion,19.81187018489784,-118.10655536454401,57.7,58.0,0.0,16.64,MX,1599930123.0
27,Tucuma,-0.6075444406010422,-49.69312225539128,90.66,55.0,3.0,7.49,BR,1599930338.0
28,Bluff,-69.85955508041843,171.29867826163525,46.99,93.0,100.0,3.0,NZ,1599929950.0
29,Hilo,23.645720392145773,-152.47496507300826,71.6,73.0,1.0,5.82,US,1599929973.0
30,Mataura,-85.73322037414462,-160.85780458514407,46.99,93.0,100.0,3.0,PF,1599929959.0
31,Cap Malheureux,-14.74367452832004,56.1965252699243,69.01,83.0,0.0,3.0,MU,1599930338.0
32,Rikitea,-13.897172161033835,-126.44889504310396,72.77,88.0,39.0,8.32,PF,1599929961.0
33,Oistins,10.84624862093679,-56.114731258798344,89.6,62.0,20.0,10.29,BB,1599930319.0
34,Opuwo,-19.40276405537065,9.277722094806633,72.32,20.0,0.0,3.56,NA,1599930343.0
35,Victoria,-4.665648574903349,49.547464376278405,80.6,88.0,40.0,5.82,SC,1599929724.0
36,Saint-Augustin,52.48589648616437,-60.42730646422216,59.11,43.0,61.0,16.28,CA,1599930344.0
37,Cape Town,-48.82143990148923,9.394901235352837,66.99,72.0,25.0,11.41,ZA,1599929814.0
38,Port Elizabeth,-49.879742488293786,27.216895721084246,66.2,88.0,56.0,8.05,ZA,1599929701.0
39,Alyangula,-17.14181079639214,137.4997099378339,66.2,93.0,55.0,4.63,AU,1599929990.0
40,Stoyba,52.814452917300684,131.45566836372353,,,,,RU,
41,College,67.14401605115837,-151.78756712247812,39.99,86.0,75.0,1.7,US,1599930118.0
42,Cidreira,-35.621171182542966,-42.528384551703155,63.45,93.0,100.0,9.35,BR,1599930006.0
43,Sobolevo,54.96277252761488,156.03958511513198,52.92,83.0,49.0,5.44,RU,1599930348.0
44,Caravelas,-22.146640071568616,-29.360155444205024,80.13,56.0,0.0,8.52,BR,1599929989.0
45,East London,-41.244837496019336,35.12835695897843,68.0,77.0,20.0,13.87,ZA,1599929717.0
46,Christchurch,-50.82042872626968,178.3076637498851,44.01,100.0,76.0,3.36,NZ,1599929819.0
47,Illoqqortoormiut,79.733915777655,-25.125721998251997,,,,,GL,
48,Chuy,-39.15766445525112,-48.69868515713823,57.15,56.0,78.0,7.65,UY,1599929988.0
49,Atuona,2.8877101826897844,-150.73722975117843,78.31,72.0,96.0,20.45,PF,1599929969.0
50,Provideniya,58.495042075978404,-174.42527516388452,39.74,81.0,100.0,8.86,RU,1599929974.0
51,Vaini,-70.35714841903383,-179.87893206965,68.0,68.0,35.0,8.05,TO,1599930016.0
52,Longyearbyen,81.10508073940264,25.09277353491122,39.2,86.0,75.0,5.82,SJ,1599929985.0
53,Saleaula,3.3388072400999103,-173.3044602728096,,,,,WS,
54,Kodiak,45.62090201648427,-147.79661880729702,42.8,70.0,1.0,4.7,US,1599930022.0
55,Teyateyaneng,-29.51088998379866,27.795851878919862,62.2,29.0,0.0,5.26,LS,1599930350.0
56,Dingle,50.88294254176662,-22.579440539563667,76.68,89.0,70.0,2.77,IE,1599930136.0
57,Tiksi,86.71501222097564,128.39366796042782,43.32,81.0,34.0,6.93,RU,1599929970.0
58,Saint-Pierre,43.949290276731844,-55.10910149049199,71.6,78.0,47.0,11.41,PM,1599930133.0
59,Jamestown,-9.207656492612028,1.439589907511234,71.01,68.0,1.0,9.17,SH,1599929977.0
60,Barentsburg,85.21755361712874,7.837426160592258,,,,,SJ,
61,Kruisfontein,-44.79744972042946,26.231100215396303,84.0,30.0,77.0,3.0,ZA,1599930353.0
62,Chokurdakh,71.69759037877631,144.9742728827618,43.07,76.0,21.0,3.62,RU,1599929960.0
63,Lebu,-36.032583919907566,-88.79048963593465,52.99,74.0,72.0,9.53,CL,1599929982.0
64,Mount Isa,-19.700048684235394,141.88292166263724,73.4,28.0,0.0,3.36,AU,1599929921.0
65,Yellowknife,80.77498033083106,-114.20847331712702,43.0,81.0,20.0,4.7,CA,1599929881.0
66,Sheregesh,52.96035833515398,88.04330405038979,39.38,82.0,0.0,3.96,RU,1599930354.0
67,Mahebourg,-40.37666626946033,75.14923612170958,71.6,88.0,40.0,6.93,MU,1599930125.0
68,Flin Flon,59.081409634844036,-101.9597267454758,50.0,61.0,75.0,18.34,CA,1599929986.0
69,Beringovskiy,58.390769041803686,175.1824651908799,47.55,76.0,100.0,32.28,RU,1599930354.0
70,Tsihombe,-60.32033010354479,52.224579175971364,,,,,MG,
71,Narsaq,84.57930217589585,-60.63923262042336,46.4,26.0,20.0,4.7,GL,1599930120.0
72,Tumannyy,76.73060946156002,37.72680680999556,,,,,RU,
73,Vardo,83.16021764257202,34.426375167205435,50.68,78.0,100.0,12.21,NO,1599930160.0
74,Naze,27.524323869804846,133.66710073944034,80.6,88.0,70.0,5.82,JP,1599930355.0
75,Waverly,42.61166353807303,-84.71372126576426,71.01,72.0,90.0,9.17,US,1599930355.0
76,Hithadhoo,-20.800906354938874,85.53500711426388,81.95,77.0,22.0,9.78,MV,1599930049.0
77,Faanui,-4.308632656343888,-159.97229192843366,77.74,79.0,69.0,14.29,PF,1599929964.0
78,Antofagasta,-24.425241567024976,-70.76352538030609,62.6,63.0,20.0,11.41,CL,1599929998.0
79,Thompson,57.862823315639005,-93.04896137393764,42.8,81.0,75.0,16.11,CA,1599929978.0
80,Deyang,31.143959012079087,104.44127916151375,70.0,53.0,100.0,1.01,CN,1599930356.0
81,Ilulissat,77.62412445683636,-42.22635093626124,33.8,74.0,75.0,4.7,GL,1599929969.0
82,Port Hardy,45.66608242560541,-134.55360476570283,55.4,93.0,90.0,2.24,CA,1599930088.0
83,Codrington,23.517680529672134,-55.362525760405546,47.26,88.0,69.0,5.84,AG,1599930030.0
84,Karlskoga,59.476763097385245,14.741357837285712,57.2,76.0,74.0,16.11,SE,1599930208.0
85,Usinsk,68.52716878662933,56.64327065166336,43.9,91.0,23.0,10.4,RU,1599930357.0
86,Jinhua,28.84531591678977,119.92184198683076,68.04,86.0,97.0,1.43,CN,1599930357.0
